Id;V0;V1;V2
0;399;664;1338
1;69;660;1448
2;238;893;895
3;336;612;1172
4;35;700;1344
5;227;759;787
6;353;685;1345
7;52;719;770
8;12;499;920
9;471;1140;1469
10;105;498;1550
11;442;774;1398
12;442;774;1060
13;386;1406;1408
14;129;576;1148
15;310;654;970
16;102;766;1027
17;454;1376;1615
18;385;738;999
19;351;750;1321
20;228;847;1099
21;420;1010;1541
22;49;529;745
23;439;1087;1379
24;170;892;1425
25;135;522;726
26;466;1018;1063
27;490;650;1016
28;486;650;1016
29;372;667;1067
30;57;1078;1150
31;69;656;1135
32;549;1360;1573
33;36;624;1405
34;242;840;1057
35;22;1102;1407
36;215;985;1613
37;312;1104;1105
38;480;1002;1290
39;149;529;871
40;276;777;798
41;426;862;1587
42;282;1004;1623
43;527;1163;1530
44;112;521;984
45;175;1346;1625
46;657;799;975
47;349;545;906
48;399;935;1251
49;174;636;1288
50;425;945;1516
51;373;799;975
52;424;946;1514
53;125;1256;1379
54;154;542;546
55;369;907;1496
56;94;480;1002
57;79;486;908
58;226;537;1026
59;223;498;1552
60;732;1242;1468
61;885;1153;1186
62;230;474;776
63;141;1324;1393
64;244;581;1440
65;301;598;946
66;598;946;1514
67;253;931;969
68;517;1004;1173
69;248;597;1449
70;353;841;1038
71;16;477;495
72;575;678;910
73;244;581;928
74;58;835;1145
75;155;994;1486
76;73;821;1513
77;599;945;1516
78;302;599;945
79;62;501;1182
80;263;728;891
81;222;804;1419
82;147;958;1013
83;326;877;1056
84;122;639;817
85;232;964;1299
86;114;1302;1377
87;170;649;951
88;111;513;976
89;160;610;1404
90;128;409;585
91;126;1273;1495
92;437;1135;1570
93;173;635;1286
94;70;557;1275
95;131;737;1366
96;71;537;1026
97;133;587;1064
98;259;674;789
99;150;789;1216
100;427;1512;1513
101;249;622;623
102;76;510;805
103;351;663;1065
104;101;841;1038
105;231;510;805
106;364;1023;1341
107;222;516;1209
108;630;1373;1374
109;274;763;1194
110;325;990;997
111;164;475;830
112;81;729;1239
113;275;602;875
114;97;1040;1282
115;237;1037;1630
116;46;900;1124
117;479;592;1446
118;320;766;1484
119;88;1052;1149
120;554;1036;1370
121;194;1316;1412
122;334;941;1145
123;13;528;1007
124;90;1012;1434
125;91;1004;1173
126;282;533;1244
127;482;1147;1434
128;342;872;1316
129;472;840;1057
130;181;612;624
131;369;669;1000
132;333;834;1267
133;364;1025;1133
134;413;1083;1253
135;367;1125;1358
136;352;1040;1041
137;97;1040;1107
138;913;1249;1559
139;245;800;829
140;233;772;1112
141;295;525;1508
142;101;1038;1106
143;132;1091;1633
144;118;1564;1597
145;138;950;1590
146;739;1579;1583
147;231;1066;1220
148;362;1260;1527
149;462;861;1281
150;115;1011;1357
151;399;664;992
152;117;1010;1541
153;160;507;1245
154;202;406;610
155;105;498;535
156;109;1113;1134
157;431;988;1218
158;904;1192;1368
159;610;832;1404
160;174;754;1294
161;378;752;1346
162;564;672;1031
163;538;605;755
164;250;951;1272
165;577;892;1425
166;106;738;1463
167;520;1177;1592
168;458;768;1298
169;458;1414;1507
170;81;792;1009
171;125;896;1255
172;326;635;1286
173;437;1135;1533
174;504;633;1146
175;309;768;1159
176;263;451;890
177;370;1178;1373
178;407;748;1303
179;219;648;807
180;232;1185;1432
181;214;504;633
182;469;1113;1527
183;483;878;961
184;216;449;868
185;23;947;1397
186;400;1399;1400
187;159;555;1078
188;458;768;1159
189;137;543;867
190;489;849;1461
191;251;856;911
192;495;864;1051
193;515;579;1375
194;461;1156;1334
195;215;732;985
196;131;737;1350
197;570;953;1265
198;254;953;1265
199;303;1063;1555
200;303;1063;1361
201;419;896;1261
202;496;647;1399
203;235;730;1415
204;135;522;1140
205;70;557;865
206;379;1208;1454
207;224;544;823
208;537;823;1048
209;127;1018;1063
210;13;625;1319
211;343;1319;1320
212;76;505;805
213;549;905;1213
214;350;549;905
215;675;1318;1325
216;253;852;1136
217;396;906;1394
218;396;906;1212
219;107;785;825
220;426;1022;1195
221;153;751;1022
222;152;605;1306
223;213;672;960
224;25;697;1203
225;609;1052;1149
226;209;1444;1535
227;501;940;1384
228;27;705;1037
229;646;1071;1291
230;60;1395;1566
231;204;672;1031
232;499;1101;1307
233;145;1072;1289
234;145;541;742
235;379;1454;1455
236;566;1074;1454
237;501;1181;1182
238;179;501;1384
239;187;495;870
240;306;870;1013
241;276;602;875
242;275;541;1076
243;237;812;1152
244;300;954;1142
245;347;993;1370
246;159;1161;1382
247;610;1006;1244
248;406;610;832
249;162;972;1187
250;290;1050;1144
251;266;574;659
252;270;792;1009
253;163;393;519
254;271;973;996
255;888;889;1189
256;268;604;763
257;277;601;876
258;277;540;1077
259;278;601;876
260;278;778;795
261;33;710;979
262;170;649;1427
263;649;1302;1377
264;585;879;1117
265;78;739;1021
266;186;1320;1411
267;569;935;1251
268;806;952;1279
269;338;862;1289
270;440;863;1635
271;396;793;1395
272;752;1346;1625
273;648;807;1332
274;106;640;861
275;770;1049;1442
276;75;663;1257
277;291;1020;1143
278;495;864;1217
279;477;495;870
280;12;387;499
281;181;691;1215
282;75;663;1065
283;594;1122;1610
284;257;512;1608
285;65;980;1274
286;476;634;936
287;547;1264;1455
288;38;708;989
289;182;527;1163
290;186;526;1320
291;25;697;1231
292;415;579;1375
293;200;699;1030
294;318;697;1029
295;189;617;1093
296;353;1038;1039
297;149;518;530
298;149;871;1534
299;313;1104;1105
300;365;1125;1227
301;95;974;1024
302;218;442;1060
303;35;967;1335
304;292;489;849
305;246;589;982
306;39;692;1204
307;85;854;1578
308;100;552;913
309;198;511;741
310;320;699;1030
311;318;818;1028
312;201;615;1089
313;312;1103;1104
314;280;874;976
315;202;406;513
316;203;1539;1585
317;445;521;1539
318;204;387;672
319;113;564;1574
320;480;1290;1497
321;545;906;1212
322;207;680;1088
323;208;509;855
324;209;729;1444
325;254;953;1547
326;84;1100;1120
327;211;626;781
328;591;948;1154
329;71;490;650
330;212;730;1415
331;249;920;1215
332;213;642;960
333;391;746;1447
334;391;1068;1628
335;215;557;740
336;234;506;1102
337;216;502;788
338;239;502;838
339;226;543;965
340;217;673;783
341;218;492;784
342;11;1318;1325
343;385;999;1464
344;219;738;999
345;347;993;1372
346;434;1492;1567
347;58;941;1145
348;240;558;839
349;454;881;1376
350;329;804;1457
351;381;1066;1278
352;779;1084;1551
353;224;537;823
354;651;855;959
355;263;451;891
356;73;500;787
357;226;748;965
358;407;1303;1616
359;146;921;1307
360;249;622;1600
361;291;653;1020
362;229;797;824
363;351;824;1065
364;182;527;750
365;258;858;1032
366;199;712;937
367;231;757;1220
368;231;510;757
369;572;1185;1432
370;21;572;1185
371;41;694;771
372;233;772;1206
373;247;450;929
374;446;1301;1546
375;152;464;655
376;655;880;1563
377;422;952;1564
378;236;850;851
379;237;524;1486
380;300;812;1152
381;48;447;767
382;118;952;1564
383;502;788;838
384;239;836;837
385;93;839;1155
386;240;944;1607
387;491;873;1411
388;410;491;843
389;441;493;842
390;337;967;1335
391;243;834;1267
392;369;907;1304
393;472;835;1145
394;244;885;1440
395;245;829;900
396;245;599;1516
397;47;827;853
398;86;589;982
399;247;504;929
400;247;925;1568
401;438;503;1086
402;483;785;1008
403;73;622;1600
404;249;920;921
405;270;792;1272
406;270;1009;1310
407;251;912;1461
408;107;531;1499
409;252;826;1198
410;110;931;988
411;253;852;932
412;652;1547;1569
413;36;701;1110
414;494;808;884
415;257;808;1046
416;329;668;974
417;256;955;1351
418;257;808;884
419;255;494;808
420;474;776;1141
421;478;903;1595
422;459;762;1196
423;147;470;753
424;362;924;1418
425;105;573;1408
426;91;819;1234
427;261;819;904
428;172;591;790
429;491;873;1147
430;179;501;1181
431;402;728;815
432;169;949;1525
433;467;1575;1583
434;467;1211;1575
435;81;574;1009
436;71;465;650
437;31;508;608
438;268;888;889
439;269;973;1126
440;542;546;1582
441;270;665;1272
442;250;792;1272
